customer_message,human_intent,predicted_intent,confidence,decision,reason,similarity
"@AmazonHelp Wat do u wnt me to reply? Ur exec states they will get back to me in 24-48 hrs with the resolution n I recd that email on 8th Nov, still wondering how do u calculate ur given TAT?",delivery_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@116316 wieviele leute können gleichzeitig bei einem amazon prime abo die videos ansehen ?,refund_request,subscription_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@117804 Obrigado, zerei a minha lista de desejos!!! https://t.co/mBczqOGs8V",order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp J'ai reçu ce matin le deuxième jeu (la ps4 et le troisième jeu ne sont toujours pas envoyé car problème de payement). Est-ce que je peux renvoyer les deux jeux reçus dans un même colis ?,order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp U kindly refund the amount back .. I have sent back the product and I demand a refund for the same .never had such dissaponments wit amazon,payment_issue,refund_request,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp To message the courier &amp; hope they pick it up tomorrow &amp; deliver (3 days late) &amp; a free month prime membership...which doesn't deliver item!,account_issue,subscription_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
Got a notification from @115821 that my package was delivered 2 my neighbour even tho I'm sat @ home waiting...neighbour didn't receive it?!,subscription_issue,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Espérons qu’il soit dans un bon jour et qu’il ne passe pas un #blackfriday ( vanne Nul mais assumé lol ) 😂,product_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Nothing on my order on your web site.,return_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
せっかく届いてたのに…… めっちゃ折れてる…… 返品したい……( ´•̥̥̥ω•̥̥̥`) Amazon……ひどいや…… https://t.co/trzbESlQnN,price_question,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp logistics dpt created ticket 24 hrs ago with no response as promised😢. Feeling so disappointed word was not kept ! #feeling unimportant,general_support,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp No,delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Danke für die schnelle Info. Ihr seit super!,refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp The delivery deadline was yesterday,order_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@122002 @120474 Tried again and it stated he had exceeded his limit. Not having to stand at the Ally. #notimpressed,payment_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Me acaba de llegar el pedido a la dirección que les facilité ayer a los de MRW. Gracias por todo.,account_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
Why does @115830 site always show a lower price &amp; when you click on the item it’s at a higher price? Nightmare when trying to buy presents!,subscription_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Wo ich es vorbestellt habe war das Game für 67.98 Euro und jetzt bezahle ich 62 Euro bekomme aber Rabatt dank Prime 2 Euro?,product_issue,subscription_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp There are just few people who act like a robot.. If I suffer, I can claim compensation.. You just updated its delivered for creating your Database perfect.. and I have to wait for 5 more days. Now, world will see, what you doing. @115851 @115821 @115850",return_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp All 3 say they are arriving today but none are dispatched yet so I don’t see how they can be https://t.co/gC5LWihN4U,price_question,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Anyone out there,delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp du ehrenloser bin schon 5te klasse,general_support,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Amazon has encountered an error. Please try again shortly. This message appears every time I attempt to change my default list for days now.,delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115821 is there a way to track the origin of a shipment I received AT MY WORK? I received an odd delivery &amp; do not know who it came from? https://t.co/l9vb3KlJla,refund_request,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
Is this a joke! Resealed by DPD with care? I think @122232 took it out and jumped on it! @115830 - @126714 https://t.co/hHor0yBCYX,payment_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?",account_issue,subscription_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp ihr habt mein Geld, also sorgt dafür - ganz einfach!",subscription_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115850 d worst product i bought frm Amazon.not working proprly https://t.co/cATOiFV4tP,product_issue,product_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@115830 @115830 do you have an explanation to my question yet?? And a solution to an upset daughter!!,return_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp N have mail the details with fax too,price_question,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Okay....what information do you need to be able to help then???,delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Correct too a Zoe in reception . But they must have delivered to wrong building. I’ve been everywhere around the delivery place but can’t find this Zoe,refund_request,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@115850 30th dec tak aapne result declare krne hai..tak bak to meri beard bahut badh jayegi.. hehe Pls reply.. #Syskaappquiz,order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.,payment_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp Regarding order no. 171-9580791-4474727. On 16 nov u r customer representative assured the said order will be delivered within a week, but till now no further updates, again I called customer care now he says it will be dispatched only after 24 nov only. What's wrong with you??? https://t.co/qGQMbBKQ8c",account_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
#Amazonlogistics Delivery service falls way short of expectations. Package not there @AmazonHelp @115821 https://t.co/c6WX6Nvi9w,subscription_issue,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@115821 thanks for the new movies on Prime video. Something new to distract from pain during CRPS flare ups #TheWitches 🌙🎃,return_issue,subscription_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
一生さんもキスマイもすごい露出で全然追いつけてない…ていうかAmazonから荷物届かないしょぼーーーん！,price_question,general_support,0.4,ESCALATE,Low intent confidence,1.0
@1584 be careful while ordering any item from @115850 and asking for an extended warranty. Activating the warranty is a nightmare,delivery_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Did you find the message that you sent ? Can I have the link to that ?,refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp どうもありがとうございます( ･ᴗ･ ) まさかここまでしていただけるとは、すごすぎませんか・・・,order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp It said I can refuse the delivery when it comes, but I can't because I won't be there",payment_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp malgré l'intervention (ou pas) du responsable hier, le colis a été livré à 10h, heureusement, j'ai eu de la chance avec le chauffeur et j'ai pu réceptionner le colis.",account_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp I have sent an email as the same thing happened to me today. The delivery attempt was never made.,subscription_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@117634 I ordered the Oasis, my order status showed it was to be delivered today and it did not come. Very disappointed.",product_issue,order_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@115821 Thanks for your amazing shipping times @115821 but I put some thought into this! 😂I'll have to see if Papa Kira (Papa Grinsha) can get it.,delivery_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp I can't replace the order as it was the nintendo switch bundle cyber monday deal so it was a different price than usual, I have access to my account though",price_question,price_question,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp Yes, was originally scheduled today however now expected 2/3 Dec! For an advent calendar not ideal",delivery_issue,price_question,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp I have an order that was supposed to be here on the 25th which has not arrived yet.,refund_request,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp customer care calls and gives courier contact and they don't pick up the call. AGAIN. Is this how ""on priority"" works?",order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"tracked the @115830 driver going around in circles today, not able to find the Royal mail office with 50 bright red vans in the car park. got a ""failed to deliver"" message.",payment_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Yes it says it’s going to be Re delivered today but yesterday was already a Re delivery of same parcel?,account_issue,delivery_issue,0.8500000000000001,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"When the job keeps you busy, but you can order a pumpkin from amazon prime now in an hour and… https://t.co/oTMgZg186n",subscription_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp que mon dossier devait être examiné, puis que je serais recontactée sous un délais de 48h. Je n'ai jamais été recontactée",product_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp No, desde que es Amazon Logistics no se con quien contactar",return_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp It’s a large hospital so not really.,price_question,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp Hi there, still no response from anyone!",delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp I did online chat. After 2 people I was told I needed to wait 24 to 48 hours to hear back from the teen group.,refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp It’s just not fair. It’s not our fault and yet we’re the ones out of pocket and the goods undelivered. Best to use another courier or go to another address??,order_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp was told you would call me back within four hours, been over 24 and still no call...",payment_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp This is da third time am providng the details. Sorry, but i donot have the time.If i dont get the product,i wll make sure you guys regret it",account_issue,product_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@3710 y'all are incredibly late with delivering my large order. 3 days late, I called today and they said it's still not even out for delivery. Their excuse? It was black Friday, we're busy. You actually suck for using that excuse. @115821 this is on you too.",subscription_issue,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
Wow @115830 who do you use for delivery people. Are they trained to lie? I have been home all day. This is shit.,product_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Votre SAV où on ne comprend pas les interlocuteurs ?,return_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp It now says it is coming on Monday, 12/4 instead. Pretty disappointing that I ordered this in September and release day shipping isn’t happening.",price_question,order_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!",delivery_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@115850 myself Arun Choubey mob-9937045729 __email__. I have returned my product (samsung galax tab) of rs 47990/- on 03.10.17 but till date no refund credited. kindly short out the issue.It is very harrasing by the company.,refund_request,refund_request,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Ok I'm waiting,order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp It was December 4 but still, I chose 2 day shipping on it!",payment_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@115821 do you guys have a simple graph of what's included and not included in amazon prime? Amazon isn't but primevideo is, can you please create a table which explains thing more simply?",account_issue,subscription_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp No one besides me has access to my account,subscription_issue,account_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp Je ne sais pas trop en fait, je vous mets la capture du suivi.. https://t.co/XVeCN9DtCt",product_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp Ordered last Friday, still not here.",return_issue,order_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@115821 #Alexa: please add support for keying numbers mid-call. #EchoDot would be great for conference calls, but can't enter access codes.",price_question,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp To me as a customer, I felt that was a unacceptable answer. I can understand if there are shortages and whatnot but nobody's saying anything",delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Yes. You definitely missed my delivery date. Twice. Also your call center staff seems to have no understanding of how mail delivery works.,refund_request,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@115850 I got an order cancellation notification for a cancellation I did not do. I even got a refund. Can u pls tell me what's going on?,order_issue,refund_request,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
How about a ‘where IS my package?’ button @AmazonHelp? £40 lost. 😡 https://t.co/SS9iH4oZFI,payment_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp the .com version, in the US.",account_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp https://t.co/LzRfyE5m3q,subscription_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@132424 guten #Tag. Ist diese #Umfrage „Sagen Sie uns Ihre Meinung über Amazon“ von Ihnen, oder eine #Fake #Mail? #Vielen #Dank. Gruß Ralph",product_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
I liked a @126972 video https://t.co/1leptFk24J How to Register &amp; Activate Amazon India seller account and Shipping setup guide for,return_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Do u think it's just normal happening???this is real happened with me...do you still think it's not worth to show quality of product,price_question,product_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp I have a delivery that was supposed to come today but still hasn’t arrived can you help please? Tracking ID Q31155496393,general_support,delivery_issue,0.95,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Already shared the info over the link of my order will not be delivered at 8pm today (your decided delivery time ) then cancel my order refund my money and close my @115850 account permanently i don't wanna use shitty amazon services @115851 @132981,delivery_issue,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
Furious with @AmazonHelp &amp; @115817. Why does the customer have to pay for their lack of communication? #WhereIsMyPackage? 😡😡😡😡😡,refund_request,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@115850 false commitment on delivery, also mentioned wrong information, delivery guy never contacted me on Tuesday. How could u do that? https://t.co/UG4a7DfhhL",order_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp 2 days later and @AmazonHelp still hasn't told me whether they do or do not have higher authority than the regular desk.,payment_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
I go to watch #thebay and episode 7 &amp; 8 aren’t there??? 😭 @117090 @AmazonHelp,account_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
#Amazon vedo che alza il tiro. La spedizione gratuita passa da 19 euro a un minimo di 29 euro di spesa.Nel periodo Natalizio poi https://t.co/VE35jtLXR7,subscription_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
".@116928 @3436 holi, así llegan los huevos que mandáis. Un saludo. https://t.co/04d0SNdZvF",product_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
My drying rack was broken when I opened the box. What should I do @115821? https://t.co/II4YnrWx0E,return_issue,product_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp It was implied it would have all been sorted on Saturday?,price_question,general_support,0.4,ESCALATE,Low intent confidence,1.0
Quem recebeu a caixa da BF hoje? 😍 @117086 fazendo meu dia mais feliz ainda. https://t.co/lzKCESis6N,general_support,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Already reported. Please re-ship my order. I'll not place a fresh order.,delivery_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@115821 How can I contact customer services without logging into Amazon?,refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Where do I send it to?,order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@115850 Order date 06-Nov-2017 Order # 403-6517981-6159555 Order total 1,470.00 (1 item) regret to say that the product not delivered. Customer Service not much helpful. Very sad experience from amazon.",payment_issue,product_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
Help @120474 I registered for the morrissey presale but on event page it says I'm not. Concerned for 10am! https://t.co/dHq5rt33yP,account_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115850 @AmazonHelp I need to contact customer support ASAP regarding bad behaviour of a seller.,subscription_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115830 Why is amazon not disbursing funds to sellers and giving no information? Has amazon gone bust?,product_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"I've recharged my number using #amazon_pay but I didn't get any confirmation from my subscriber so far &amp; customer care executive told me that they didn't get any amount from Amazon against my recharge, please fix the issue @AmazonHelp @115850 https://t.co/S8vRh21Xil",return_issue,payment_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp That should do.,price_question,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp YES paid an extra $10 for delivery today. Assuming that will be refunded.,delivery_issue,refund_request,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@115821 Yesterday I got an Amazon package for the third floor, and the fifth floor got mine - why is this so hard?",delivery_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
Please explain this @AmazonHelp https://t.co/VJ4d1ii4PH,refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Customer service helped me. Thank you.,refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp Have u gone mad, how many times shud I reply to emails? Jus provide me email ids or else I will complain in consumer forum for mental harassment.",order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Shall I wait for life? Worst customer service...pathetic!,order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@120465 ありがたや...ありがたや... 所でグランドツアーシーズン2の配信はまだでしょうかー？,payment_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp They said the item was out of stock as of yesterday. However I have a shipping notification from you from November 20 that my order shipped,payment_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp Vuestro,el caso es que el sobre de cartón venía mojado de la lluvia o algo y uno de los cómic esta mojado,el otro no..lo traía Correos.",general_support,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115821 still hasn’t taken my money for my order! WHY,order_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Seriously!!! Ur customer service already told me cancel d order .. Amazon can't do anything to it..n till now it's showing expected on 25th👏,account_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp I received nothing in spam and there was no message from the operator. However I received your message at 1am - 8hrs after my enquiry. I don’t understand why your operator couldn’t do this for me. Many thanks for your assistance,account_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp Ce qui a de plus désolant, c'est surtout que ca arrive systématiquement avec Colis Privé. Arrêtez de traiter avec eux, ca ne peut pas continuer là...",subscription_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
My @115830 Prime 'expedited' delivery has been 'out for delivery' for 70 hours. I could have WALKED to Amazon warehouse &amp; back in 58 hrs. https://t.co/3VpfI4JFQS,subscription_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp can anybody is there for help me I had called amazon 20 times but I don't know where is my product.. Will I get this or not,product_issue,product_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@115821 @AmazonHelp I'm so frustrated w/how things keep changing. Making it hard on POOR people!!! Free isn't free anymore.,delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115850 have cheated &amp; delivered a duplicate product of @7166 which is different from the original product as displayed. https://t.co/MnarBn5yN0,refund_request,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@115850 I hav an idea that will encourage sellers to sell globally. how about Introducing a new feature in the ""amazon pay"" so sellers can load funds for the subscriptn fees as many sellers still hesitate for Intl Credit Card due to several reasons this might surely help them",order_issue,payment_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Is there an email I can write to later?,payment_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
How @115821 packages china https://t.co/fO9vbus18E,account_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Do u hav brain the product is taking more then a week to reach me and i am #primememeber and can u read i need a #refund now i dnt #trust,subscription_issue,refund_request,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"This is what i received, broken car steering mobile holder from @115821 @AmazonHelp @115850 Order id : 402-4901639-7214711. This was unexpected from such a big brand https://t.co/ZQZ3KYMvZi",product_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@116316 Die Antwort an der Hotline, dass das System das eigenständig, ohne GEOProfiling gemacht hat, ist sehr unglaubwürdig",return_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp eu vou na portaria antes para saber se chegou ou não, aí qualquer coisa eu mando um e-mail",price_question,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp I have replied to it many and still have not received any response, sending you a legal notification for closing this fraud business",general_support,general_support,0.4,ESCALATE,Low intent confidence,1.0
merry Christmas to the bitch who stole my bank information and cashed out on amazon ❗️bitch you going to JAIL ❗️❗️❗️,delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp It doesn't say. It shows it hasn't shipped yet.,refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115850 @115850 is one of the best app in the world,payment_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp J’ai rempli le formulaire,account_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Ive tried. I thought it fixed it but then the music stops playing again. What’s weird is that Spotify is still continuing as if sound was on,subscription_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@116875 Paypal,product_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Yes and if I would have known it wouldn’t be here today I wouldn’t have ordered,return_issue,order_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Perhaps you can get me the callback I've been asking for for the last 2 months from a Vendor Management Team Member? Happy to DM phone# 1/2,price_question,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Isn't applying for pick up in your app not good enough @115850,general_support,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp Its out for delivery but not yet done, but by 5 your delivery services will be closed. No intimation yet. Plz prioritise and inform the field executive",delivery_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp I attached the snapshot of that,refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp What a shame...the issue is not yet resolved..no track info from courier after 28th..Ruined someone's birthday gift..,order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115821 how come the order I made today using amazon prime guarantee next day delivery says guaranteed delivery Nov 6? https://t.co/NZPhnTDEEW,payment_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"Thanks to Amazon's new, experimental, delivery-gig system, we just had yet another package chucked into our yard, left out in the open next to a city sidewalk. A city sidewalk, you dolts!!! Driver sped away. @115821 Prime members since 1995.",account_issue,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp I m filling this form,subscription_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
I really got scammed on @115821,product_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp No, I still need to take time out of my busy day later to call or chat about it what to do next.",return_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Yes I have contacted Amazon and this problem is going to cost me a lot of money and as of right now there is solution.,price_question,price_question,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp #AmazonIndia few more lies from #aramex . Incorrect address, time restricted, office,.. Is home not an office address. Stop lying https://t.co/dHO3eweRco",general_support,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp How would they know why you are directing people to The Works?,delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Hello Amazon. My creditcard issuer was so kind to provide me with an authorization code as you did made a reservation on my creditcard account the minute I placed the order. That code should help you to verify that the card belongs to me and my address - where can I send it to?,refund_request,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp How shameful u guyzz are when product is replaced it come on friday and if i purchase a new it comes tom #complain #amazoneisfraud https://t.co/smxpZ6oidm,order_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Grazie Mille,payment_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp 2/2 carrier who delivered my previous item which i never received, to a random address. Will be disappointed if this happens again tomorrow",account_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@115850 this is what I received in box, an offer, for giving good review to product purchased. Good way to fool customers who trust reviews on your site. @115851 @115821 https://t.co/R8HeKGeMWV",subscription_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept,product_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
