customer_message,historical_response,predicted_intent,confidence,human_label
"@AmazonHelp Wat do u wnt me to reply? Ur exec states they will get back to me in 24-48 hrs with the resolution n I recd that email on 8th Nov, still wondering how do u calculate ur given TAT?",@123350 Twitter being a Social Media Platform we'd not be able to check your account/order details. Please reply back to the email with your concern and we will assist you. ^AH,delivery_issue,0.65,delivery_issue
@116316 wieviele leute können gleichzeitig bei einem amazon prime abo die videos ansehen ?,@122589 Es können zwei Titel gleichzeitig geschaut werden. Aber nicht der gleiche Titel parallel auf zwei Geräten. ^AN,subscription_issue,0.65,refund_request
"@117804 Obrigado, zerei a minha lista de desejos!!! https://t.co/mBczqOGs8V",@125688 Olá! Que felicidade Ishmael! Você comprou muita coisa? 😃🎁🎁❤️ ^JJ,general_support,0.4,order_issue
@AmazonHelp J'ai reçu ce matin le deuxième jeu (la ps4 et le troisième jeu ne sont toujours pas envoyé car problème de payement). Est-ce que je peux renvoyer les deux jeux reçus dans un même colis ?,"@132727 N'ayant pas accès à votre compte, veuillez voir cela auprès de notre SAV. Vous pouvez le joindre via le lien suivant : https://t.co/hgIrz98cdI",general_support,0.4,order_issue
@AmazonHelp U kindly refund the amount back .. I have sent back the product and I demand a refund for the same .never had such dissaponments wit amazon,@120173 We've emailed a correspondence to you. Kindly check it here: https://t.co/8DAc10S7ww &amp; reply to it for further assistance.^SF,refund_request,0.65,payment_issue
@AmazonHelp To message the courier &amp; hope they pick it up tomorrow &amp; deliver (3 days late) &amp; a free month prime membership...which doesn't deliver item!,"@129582 We understand the frustration, Laura. Were you able to contact the courier in order to reschedule a redelivery? ^JD",subscription_issue,0.75,account_issue
Got a notification from @115821 that my package was delivered 2 my neighbour even tho I'm sat @ home waiting...neighbour didn't receive it?!,@123352 This is odd! Please reach out to us by phone or chat here: https://t.co/JzP7hlA23B so we can look into this! ^KJ,delivery_issue,0.75,subscription_issue
@AmazonHelp Espérons qu’il soit dans un bon jour et qu’il ne passe pas un #blackfriday ( vanne Nul mais assumé lol ) 😂,"@131799 Avec les fêtes de fin d'année, la bonne humeur est au RDV 😄 PS : Bahamas nous arrivons.....Peut-être 🤣",general_support,0.4,product_issue
@AmazonHelp Nothing on my order on your web site.,"@118925 Late order usually arrive the next business day. If your order hasn't arrived by 8:00 PM tomorrow, please let us know. ^LR",order_issue,0.65,return_issue
せっかく届いてたのに…… めっちゃ折れてる…… 返品したい……( ´•̥̥̥ω•̥̥̥`) Amazon……ひどいや…… https://t.co/trzbESlQnN,@131412 商品に不具合があったとの事で、ご迷惑をおかけしております。返品を承ります。お手続き方法についてはこちらのヘルプページをご参照下さい。 https://t.co/IC7ig4Jh8n EK,general_support,0.4,price_question
@AmazonHelp logistics dpt created ticket 24 hrs ago with no response as promised😢. Feeling so disappointed word was not kept ! #feeling unimportant,"@120166 Sorry about that! Can you reach us here again, please: https://t.co/hApLpMlfHN ^CD",general_support,0.4,general_support
@AmazonHelp No,@122922 Oh no! Sometimes parcels are returned to us as undeliverable. You can read more about it here: https://t.co/pIA6sR0X1L ^TG,general_support,0.4,delivery_issue
@AmazonHelp Danke für die schnelle Info. Ihr seit super!,@127185 Gerne! :) ^MI,general_support,0.4,refund_request
@AmazonHelp The delivery deadline was yesterday,@121460 Have you contacted the seller? ^MC,delivery_issue,0.65,order_issue
@122002 @120474 Tried again and it stated he had exceeded his limit. Not having to stand at the Ally. #notimpressed,@121890 Hi Claire. Please use this link to get in touch and we'll help: https://t.co/JzP7hlA23B ^RL,general_support,0.4,payment_issue
@AmazonHelp Me acaba de llegar el pedido a la dirección que les facilité ayer a los de MRW. Gracias por todo.,@133248 Genial. Nos alegramos de que se haya podido resolver el inconveniente. Que disfrutes mucho tu pedido. ^ES,general_support,0.4,account_issue
Why does @115830 site always show a lower price &amp; when you click on the item it’s at a higher price? Nightmare when trying to buy presents!,"@132151 Hi, are you seeing this when you click the ""new from"" section on the product page? ^KI",order_issue,0.65,subscription_issue
@AmazonHelp Wo ich es vorbestellt habe war das Game für 67.98 Euro und jetzt bezahle ich 62 Euro bekomme aber Rabatt dank Prime 2 Euro?,@122220 Das lässt sich über Twitter schwer beantworten - du müsstest aber alle relevanten Informationen per E-Mail erhalten haben. ^MI,subscription_issue,0.65,product_issue
"@AmazonHelp There are just few people who act like a robot.. If I suffer, I can claim compensation.. You just updated its delivered for creating your Database perfect.. and I have to wait for 5 more days. Now, world will see, what you doing. @115851 @115821 @115850","@133290 I understand your disappointment, please share your details through the link provided to you earlier so we can help you accordingly. ^MD",delivery_issue,0.65,return_issue
@AmazonHelp All 3 say they are arriving today but none are dispatched yet so I don’t see how they can be https://t.co/gC5LWihN4U,"@121279 As we're unable to view your account via Twitter,pls contact here:https://t.co/JzP7hlA23B so we can look into this.^KM",general_support,0.4,price_question
@AmazonHelp Anyone out there,"@124468 This may be helpful: https://t.co/Tx9woJ1OSE If this doesn't help to answer, reach us phone/chat: https://t.co/JzP7hlA23B ^KN",general_support,0.4,delivery_issue
@AmazonHelp du ehrenloser bin schon 5te klasse,@126910 Wiederholung schadet nicht :-P ^SM,general_support,0.4,general_support
@AmazonHelp Amazon has encountered an error. Please try again shortly. This message appears every time I attempt to change my default list for days now.,@120407 My apologies Christopher. Have you tried from a non mobile device? ^DC,general_support,0.4,delivery_issue
@115821 is there a way to track the origin of a shipment I received AT MY WORK? I received an odd delivery &amp; do not know who it came from? https://t.co/l9vb3KlJla,"@125125 How odd, Jamie! Please contact us via phone or chat so we can discuss this with you directly: https://t.co/hApLpMlfHN ^MW",delivery_issue,0.75,refund_request
"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,general_support,0.4,order_issue
Is this a joke! Resealed by DPD with care? I think @122232 took it out and jumped on it! @115830 - @126714 https://t.co/hHor0yBCYX,@126713 I'm sorry your order arrived damaged. You can view your available options here: https://t.co/s5xKyvjvVw ^CO,general_support,0.4,payment_issue
"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS",subscription_issue,0.65,account_issue
"@AmazonHelp ihr habt mein Geld, also sorgt dafür - ganz einfach!","@133571 Wie bereits ^AW erwähnte, können wir dies nicht beeinflussen. Daher bitten wir dich hier um Geduld. ^SK",general_support,0.4,subscription_issue
@115850 d worst product i bought frm Amazon.not working proprly https://t.co/cATOiFV4tP,"@123657 Sorry to hear that, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SU",product_issue,0.75,product_issue
@115830 @115830 do you have an explanation to my question yet?? And a solution to an upset daughter!!,"@132720 I am sorry to hear about this, it is obviously very disappointing. Please contact us directly using the following link: https://t.co/oGDklGgbCZ so we can look into this for you.^SM",general_support,0.4,return_issue
@AmazonHelp N have mail the details with fax too,"@122600 I understand waiting could be tiresome but rest assured, the concerned team is working on a resolution for you.^SU",general_support,0.4,price_question
@AmazonHelp Okay....what information do you need to be able to help then???,"@117498 Hi, is the book listed as sold or fulfilled by Amazon? If so, please get in touch with us via the link ^GM provided. ^TS",general_support,0.4,delivery_issue
@AmazonHelp Correct too a Zoe in reception . But they must have delivered to wrong building. I’ve been everywhere around the delivery place but can’t find this Zoe,"@132728 I'm so sorry about this, Martin! Please contact us here so we can investigate this further: https://t.co/JzP7hlA23B ^SA",delivery_issue,0.75,refund_request
@115850 30th dec tak aapne result declare krne hai..tak bak to meri beard bahut badh jayegi.. hehe Pls reply.. #Syskaappquiz,"@134809 We understand your concern. The results aren't declared yet, please stay tuned to our website for updates. ^YP",general_support,0.4,order_issue
@AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.,@116314 We're unable to view any account information via Twitter. What's the current tracking shown here: https://t.co/aaDyEz1VgE? ^AG,general_support,0.4,payment_issue
"@AmazonHelp Regarding order no. 171-9580791-4474727. On 16 nov u r customer representative assured the said order will be delivered within a week, but till now no further updates, again I called customer care now he says it will be dispatched only after 24 nov only. What's wrong with you??? https://t.co/qGQMbBKQ8c","@132745 I'm sorry for the hassle. Please share your details here : https://t.co/beaaDm0muc and we will be glad to help you. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^SD",delivery_issue,0.65,account_issue
#Amazonlogistics Delivery service falls way short of expectations. Package not there @AmazonHelp @115821 https://t.co/c6WX6Nvi9w,"@124169 I'm sorry your package is missing, we'd be happy to look into your options with you here: https://t.co/qy3J24VGxb ^AF",delivery_issue,0.75,subscription_issue
@115821 thanks for the new movies on Prime video. Something new to distract from pain during CRPS flare ups #TheWitches 🌙🎃,@117802 We are happy that our new selections bring you some comfort. Stay strong Cassandra ^CH,subscription_issue,0.65,return_issue
一生さんもキスマイもすごい露出で全然追いつけてない…ていうかAmazonから荷物届かないしょぼーーーん！,@132700 ご心配をおかけしております、Amazonです。当サイトではご案内しているお届け予定日までの商品のお届けに努めております。お手数ですが、今一度注文履歴よりお届け予定日をご確認ください。https://t.co/i3JyYF86vb RI,general_support,0.4,price_question
@1584 be careful while ordering any item from @115850 and asking for an extended warranty. Activating the warranty is a nightmare,@121277 I couldn'r comprehend you issue could you please elaborate? ^VH,order_issue,0.65,delivery_issue
@AmazonHelp Did you find the message that you sent ? Can I have the link to that ?,@133921 We apologize for the delay in the response. Be assured that we will get in touch with you at the earliest. ^BV,general_support,0.4,refund_request
@AmazonHelp どうもありがとうございます( ･ᴗ･ ) まさかここまでしていただけるとは、すごすぎませんか・・・,@131959 とんでもないです！ﾑﾌﾌ(*＾∀ﾟ)ъ EK,general_support,0.4,order_issue
